airline_name,date,route ,origin,origin code,destination code,destination,layover 1,layover 2,overall_rating,seat_comfort_rating,cabin_staff_rating,inflight_entertainment_rating,value_money_rating
delta-air-lines,2015-06-30,mco|orf,mco,MCO,ORF,orf,,,2.5,2,2,,1
delta-air-lines,2015-06-30,orf|atl,orf,ORF,ATL,atl,,,2.5,2,2,,1
delta-air-lines,2015-06-29,calgary|atlanta,calgary,YYC,ATL,atlanta,,,0.5,1,1,,1
delta-air-lines,2015-06-29,atlanta|salt lake city,atlanta,ATL,SLC,salt lake city,,,0.5,1,1,,1
delta-air-lines,2015-06-29,bos|jfk,bos,BOS,JFK,jfk,,,0.5,3,1,3,1
delta-air-lines,2015-06-29,jfk|jfk,jfk,JFK,JFK,jfk,,,0.5,3,1,3,1
delta-air-lines,2015-06-29,seattle|paris,seattle,SEA,CDG,paris,,,1.5,3,5,,2
delta-air-lines,2015-06-29,paris|detroit,paris,CDG,DTW,detroit,,,1.5,3,5,,2
delta-air-lines,2015-06-28,yyc|las,yyc,YYC,LAS,las,,,0.5,2,2,1,1
delta-air-lines,2015-06-28,los angeles|orlando,los angeles,LAX,MCO,orlando,,,4,3,5,4,4
delta-air-lines,2015-06-26,dca|nrt,dca,DCA,NRT,nrt,,,2,4,3,4,4
delta-air-lines,2015-06-26,nrt|msp,nrt,NRT,MSP,msp,,,2,4,3,4,4
delta-air-lines,2015-06-25,mia|bil,mia,MIA,BIL,bil,,,0.5,1,1,,1
delta-air-lines,2015-06-25,bil|atl,bil,BIL,ATL,atl,,,0.5,1,1,,1
delta-air-lines,2015-06-22,detroit|tampa,detroit,DTW,TPA,tampa,,,3.5,4,4,,4
delta-air-lines,2015-06-19,msp|sjc,msp,MSP,SJC,sjc,,,4.5,4,5,,5
delta-air-lines,2015-06-18,indianapolis|phoenix,indianapolis,IND,PHX,phoenix,,,5,3,5,,5
delta-air-lines,2015-06-18,phoenix|minneapolis,phoenix,PHX,MSP,minneapolis,,,5,3,5,,5
delta-air-lines,2015-06-17,nrt|nrt,nrt,NRT,NRT,nrt,,,4,4,3,5,5
delta-air-lines,2015-06-17,nrt|sin,nrt,NRT,SIN,sin,,,4,4,3,5,5
delta-air-lines,2015-06-14,barcelona|new-york,barcelona,BCN,NEW,new-york,,,4.5,4,5,5,4
delta-air-lines,2015-06-11,brussels|jfk,brussels,BRU,JFK,jfk,,,1.5,3,3,2,3
dragonair,2015-08-01,hkg|beijing,hkg,HKG,PEK,beijing,,,1.5,3,2,2,1
dragonair,2015-07-20,clark|hkg,clark,CRK,HKG,hkg,,,1.5,2,2,,5
dragonair,2015-07-18,hanoi|hkg,hanoi,HAN,HKG,hkg,,,1,1,1,5,1
dragonair,2015-07-09,hkg|crk,hkg,HKG,CRK,crk,,,2,3,3,,5
dragonair,2015-06-28,han|hkg,han,HAN,HKG,hkg,,,4,3,4,,4
eastern-airways,2015-07-25,aberdeen|durham tees valley,aberdeen,ABZ,RDU,durham tees valley,,,0.5,2,3,,1
eastern-airways,2015-06-19,norwich|aberdeen,norwich,NWI,ABZ,aberdeen,,,5,5,5,,4
easyjet,2015-07-31,milan malpensa|brussels national,milan malpensa,MXP,BRU,brussels national,,,4.5,4,4,,5
easyjet,2015-07-30,bristol|funchal,bristol,BRS,FNC,funchal,,,1.5,1,3,,3
easyjet,2015-07-28,london luton|nice,london luton,LHR,NCE,nice,,,3.5,3,4,,4
easyjet,2015-07-27,bristol|corfu,bristol,BRS,CFU,corfu,,,2,3,1,,3
easyjet,2015-07-26,liverpool|faro,liverpool,LPL,FAO,faro,,,4.5,4,5,,4
easyjet,2015-07-26,cph|brs,cph,CPH,BRS,brs,,,4.5,4,5,,4
easyjet,2015-07-26,krakow|edinburgh,krakow,KRK,EDI,edinburgh,,,4,5,5,,3
easyjet,2015-07-23,liverpool|menorca,liverpool,LPL,MAH,menorca,,,4,3,4,,4
easyjet,2015-07-22,machester|heraklion,machester,MAN,HER,heraklion,,,1.5,1,4,1,1
easyjet,2015-07-22,cag|bsl,cag,CAG,BSL,bsl,,,3.5,2,4,1,5
easyjet,2015-07-18,gatwick|kefalonia,gatwick,LGW,EFL,kefalonia,,,2.5,2,4,,2
easyjet,2015-07-11,belfast|malaga,belfast,BFS,AGP,malaga,,,5,5,5,,5
easyjet,2015-07-10,bristol|corfu,bristol,BRS,CFU,corfu,,,4,3,4,,4
easyjet,2015-07-09,krk|bsl,krk,KRK,BSL,bsl,,,3.5,3,3,,4
easyjet,2015-07-09,stansted|amsterdam,stansted,STN,AMS,amsterdam,,,0.5,3,2,,2
easyjet,2015-07-09,bristol|rome,bristol,BRS,FCO,rome,,,0.5,1,1,,2
